id,EAP,HPL,MWS
id02310,0.375316307,0.255640793,0.3690429
id24541,0.413080776,0.296601664,0.290317561
id00134,0.378373408,0.349637001,0.271989591
id27757,0.387193726,0.36188994,0.250916334
id04081,0.421414357,0.247813382,0.33077226
id27337,0.420956104,0.312507423,0.266536473
id24265,0.417931189,0.263978436,0.318090376
id25917,0.336281134,0.286836215,0.376882651
id04951,0.454861459,0.286759615,0.258378926
id14549,0.443032433,0.265531157,0.29143641
id22505,0.326821601,0.305574168,0.367604231
id24002,0.33387179,0.38337258,0.282755629
id18982,0.337381571,0.298411931,0.364206498
id15181,0.318040834,0.412286986,0.26967218
id21888,0.406852178,0.274811608,0.318336214
id12035,0.274808988,0.232103806,0.493087206
id17991,0.384087306,0.252728796,0.363183898
id10707,0.490504796,0.255831276,0.253663928
id07101,0.360841515,0.327333983,0.311824502
id00345,0.393450156,0.336672971,0.269876873
id05912,0.443680463,0.255305422,0.301014116
id13443,0.396732495,0.263812263,0.339455242
id09248,0.362336156,0.315958322,0.321705522
id17542,0.376632087,0.2782955,0.345072413
id06995,0.361170763,0.285758567,0.35307067
id25159,0.404514749,0.198396529,0.397088722
id25729,0.395919475,0.327879723,0.276200803
id26949,0.400303317,0.309286958,0.290409725
id27191,0.373163264,0.251429227,0.375407509
id07668,0.379517625,0.256206229,0.364276146
id02230,0.343213873,0.278522554,0.378263573
id15553,0.434540569,0.287453099,0.278006332
id25688,0.25530003,0.488940545,0.255759425
id17545,0.512019686,0.229862197,0.258118118
id13929,0.385654682,0.32935506,0.284990258
id12880,0.357349539,0.335799738,0.306850723
id19282,0.396484428,0.292141198,0.311374374
id14690,0.302898309,0.302133713,0.394967977
id17975,0.341682537,0.354851947,0.303465516
id08037,0.459918061,0.252401152,0.287680787
id15412,0.34038103,0.24786382,0.41175515
id25032,0.491367392,0.228090678,0.280541929
id27165,0.48847186,0.2462156,0.26531254
id03327,0.397408535,0.316615153,0.285976312
id18515,0.428147646,0.288222905,0.283629449
id21003,0.332154066,0.327996355,0.339849579
id23855,0.257354841,0.404016387,0.338628772
id20724,0.432354981,0.26424238,0.303402639
id13303,0.383048944,0.296194029,0.320757028
id16521,0.327694407,0.344866002,0.327439591
id20775,0.470593995,0.27434271,0.255063295
