id,EAP,HPL,MWS,#VALUE!
id02310,0.375316307,0.255640793,0.3690429,1
id24541,0.380822711,0.264343599,0.258059496,0.903225806
id00134,0.368272398,0.339535991,0.261888581,0.96969697
id27757,0.387193726,0.36188994,0.250916334,1
id04081,0.421414357,0.247813382,0.33077226,0.999999999
id27337,0.420956104,0.312507423,0.266536473,1
id24265,0.417931189,0.263978436,0.318090376,1.000000001
id25917,0.336281134,0.286836215,0.376882651,1
id04951,0.442956697,0.274854853,0.246474164,0.964285714
id14549,0.401365766,0.22386449,0.249769744,0.875
id22505,0.311317725,0.290070292,0.352100355,0.953488372
id24002,0.327069069,0.376569859,0.275952908,0.979591836
id18982,0.337381571,0.298411931,0.364206498,1
id15181,0.318040834,0.412286986,0.26967218,1
id21888,0.406852178,0.274811608,0.318336214,1
id12035,0.274808988,0.232103806,0.493087206,1
id17991,0.384087306,0.252728796,0.363183898,1
id10707,0.479752108,0.245078588,0.24291124,0.967741936
id07101,0.346952626,0.313445094,0.297935613,0.958333333
id00345,0.393450156,0.336672971,0.269876873,1
id05912,0.443680463,0.255305422,0.301014116,1.000000001
id13443,0.396732495,0.263812263,0.339455242,1
id09248,0.362336156,0.315958322,0.321705522,1
id17542,0.343298753,0.244962167,0.31173908,0.9
id06995,0.350418075,0.275005879,0.342317982,0.967741936
id25159,0.404514749,0.198396529,0.397088722,1
id25729,0.395919475,0.327879723,0.276200803,1.000000001
id26949,0.344747762,0.253731402,0.234854169,0.833333333
id27191,0.373163264,0.251429227,0.375407509,1
id07668,0.36821819,0.244906794,0.352976711,0.966101695
id02230,0.343213873,0.278522554,0.378263573,1
id15553,0.427448371,0.2803609,0.270914133,0.978723404
id25688,0.25530003,0.488940545,0.255759425,1
id17545,0.512019686,0.229862197,0.258118118,1.000000001
id13929,0.385654682,0.32935506,0.284990258,1
id12880,0.357349539,0.335799738,0.306850723,1
id19282,0.375651095,0.271307864,0.290541041,0.9375
id14690,0.302898309,0.302133713,0.394967977,0.999999999
id17975,0.341682537,0.354851947,0.303465516,1
id08037,0.444414185,0.236897276,0.272176911,0.953488372
id15412,0.34038103,0.24786382,0.41175515,1
